Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"PIEZO1",1," Piezo"
"D1",1,"Vermelho LED"
"DIST1",1," Sensor de distância ultrassônico (quatro pinos)"
"D2",1,"Amarelo LED"
"D3",1,"Verde LED"
"R1, R2, R3",3,"1 kΩ Resistor"
